Date,MSCI China ESG Leaders Index Standard (Large+Mid Cap),Return Rate
2021-03-24,"2,322.793",-0.027501184
2021-03-25,"2,280.257",-0.018312437
2021-03-26,"2,333.261",0.023244748
2021-03-29,"2,325.310",-0.003407677
2021-03-30,"2,336.498",0.004811401
2021-03-31,"2,326.422",-0.004312437
2021-04-01,"2,400.384",0.031792168
2021-04-02,"2,400.941",0.000232046
2021-04-05,"2,403.063",0.00088382
2021-04-06,"2,419.559",0.006864572
2021-04-07,"2,365.700",-0.022259842
2021-04-08,"2,375.524",0.004152682
2021-04-09,"2,341.930",-0.014141722
2021-04-12,"2,370.355",0.012137425
2021-04-13,"2,348.997",-0.009010465
2021-04-14,"2,376.516",0.011715213
2021-04-15,"2,365.369",-0.00469048
2021-04-16,"2,387.409",0.009317785
2021-04-19,"2,387.306",-4.3143E-05
2021-04-20,"2,370.580",-0.007006224
2021-04-21,"2,346.378",-0.010209316
2021-04-22,"2,368.067",0.009243609
2021-04-23,"2,412.228",0.018648543
2021-04-26,"2,402.114",-0.004192804
2021-04-27,"2,405.861",0.001559876
2021-04-28,"2,412.502",0.002760342
2021-04-29,"2,406.571",-0.002458444
2021-04-30,"2,371.155",-0.014716374
2021-05-03,"2,363.974",-0.003028482
2021-05-04,"2,352.780",-0.004735247
2021-05-05,"2,329.086",-0.01007064
2021-05-06,"2,324.464",-0.001984469
2021-05-07,"2,303.886",-0.008852794
2021-05-10,"2,267.056",-0.015986034
2021-05-11,"2,243.273",-0.010490698
2021-05-12,"2,256.969",0.006105365
2021-05-13,"2,177.056",-0.035407221
2021-05-14,"2,203.857",0.012310662
2021-05-17,"2,244.742",0.018551567
2021-05-18,"2,274.744",0.013365456
2021-05-19,"2,268.471",-0.002757673
2021-05-20,"2,289.974",0.009479072
2021-05-21,"2,257.160",-0.01432942
2021-05-24,"2,254.184",-0.001318471
2021-05-25,"2,301.458",0.020971669
2021-05-26,"2,324.185",0.009875044
2021-05-27,"2,315.413",-0.003774226
2021-05-28,"2,303.070",-0.005330798
2021-05-31,"2,356.542",0.023217705
2021-06-01,"2,405.120",0.020614103
2021-06-02,"2,389.571",-0.006464958
2021-06-03,"2,354.458",-0.014694269
2021-06-04,"2,350.723",-0.001586352
2021-06-07,"2,342.276",-0.003593363
2021-06-08,"2,337.018",-0.002244825
2021-06-09,"2,332.092",-0.002107814
