Date,EAFE Standard (Large+Mid Cap),Return Rate,,,
2020-02-12,"6,433.881",0.004033687,,,
2020-02-13,"6,411.202",-0.003524933,,,
2020-02-14,"6,396.022",-0.002367731,,,
2020-02-17,"6,389.705",-0.000987645,,,
2020-02-18,"6,349.711",-0.006259131,,,
2020-02-19,"6,364.429",0.002317901,,,
2020-02-20,"6,319.340",-0.007084532,,,
2020-02-21,"6,316.963",-0.000376147,,,
2020-02-24,"6,165.229",-0.024020087,,,
2020-02-25,"6,052.030",-0.018360875,,,
2020-02-26,"6,020.671",-0.005181567,,,
2020-02-27,"5,896.088",-0.020692544,,,
2020-02-28,"5,713.280",-0.031004965,,,
2020-03-02,"5,777.394",0.011221925,,,
2020-03-03,"5,836.271",0.010190927,,,
2020-03-04,"5,873.175",0.006323216,,,
2020-03-05,"5,868.426",-0.000808592,,,
2020-03-06,"5,732.403",-0.023178788,,,
2020-03-09,"5,405.040",-0.057107464,,,
2020-03-10,"5,354.506",-0.009349422,,,
2020-03-11,"5,261.365",-0.017394882,,,
2020-03-12,"4,716.288",-0.103599921,,,
2020-03-13,"4,680.036",-0.007686553,,,
2020-03-16,"4,504.908",-0.037420225,,,
2020-03-17,"4,545.991",0.009119609,,,
2020-03-18,"4,351.316",-0.042823446,,,
2020-03-19,"4,371.922",0.004735579,,,
2020-03-20,"4,409.605",0.008619321,,,
2020-03-23,"4,284.425",-0.02838803,,,
2020-03-24,"4,591.173",0.071596072,,,
2020-03-25,"4,808.274",0.047286608,,,
2020-03-26,"4,942.002",0.027812059,,,
2020-03-27,"4,904.331",-0.007622619,,,
2020-03-30,"4,947.203",0.008741661,,,
2020-03-31,"4,950.738",0.000714545,,,
2020-04-01,"4,819.491",-0.026510593,,,
2020-04-02,"4,780.654",-0.00805832,,,
2020-04-03,"4,719.826",-0.012723782,,,
2020-04-06,"4,886.739",0.035364227,,,
2020-04-07,"5,005.502",0.024303119,,,
2020-04-08,"5,018.738",0.00264429,,,
2020-04-09,"5,100.883",0.016367661,,,
2020-04-10,"5,111.425",0.002066701,,,
2020-04-13,"5,095.079",-0.003197934,,,
2020-04-14,"5,175.871",0.015856869,,,
2020-04-15,"5,045.164",-0.025253141,,,
2020-04-16,"5,022.733",-0.00444604,,,
2020-04-17,"5,150.644",0.025466414,,,
2020-04-20,"5,148.637",-0.00038966,,,
2020-04-21,"4,996.643",-0.029521211,,,
2020-04-22,"5,037.250",0.008126856,,,
2020-04-23,"5,089.718",0.010416001,,,
2020-04-24,"5,046.370",-0.008516778,,,
2020-04-27,"5,156.846",0.021892172,,,
2020-04-28,"5,215.184",0.011312729,,,
2020-04-29,"5,292.714",0.014866206,,,
2020-04-30,"5,270.569",-0.004184054,,,
2020-05-01,"5,201.286",-0.01314526,,,
2020-05-04,"5,086.426",-0.022083,,,
2020-05-05,"5,148.121",0.012129342,,,
2020-05-06,"5,131.698",-0.003190096,,,
2020-05-07,"5,149.461",0.003461427,,,
2020-05-08,"5,246.643",0.018872266,,,
2020-05-11,"5,230.536",-0.003069963,,,
2020-05-12,"5,248.280",0.003392387,,,
2020-05-13,"5,168.664",-0.015169922,,,
2020-05-14,"5,058.004",-0.021409788,,,
2020-05-15,"5,079.919",0.004332737,,,
2020-05-18,"5,233.015",0.030137488,,,
2020-05-19,"5,272.736",0.007590462,,,
2020-05-20,"5,334.189",0.01165486,,,
2020-05-21,"5,279.707",-0.010213736,,,
2020-05-22,"5,233.041",-0.008838748,,,
2020-05-25,"5,307.054",0.014143402,,,
2020-05-26,"5,424.811",0.02218877,,,
2020-05-27,"5,439.738",0.002751617,,,
2020-05-28,"5,556.922",0.021542214,,,
2020-05-29,"5,500.075",-0.010229944,,,
2020-06-01,"5,570.713",0.012843098,,,
